user_reply,bot_response
bad day indeed,How can I make it better
bad day,How can I make it better
yes it was,How can I make it better
I was stood up,That’s sad
I know,A drink perhaps
I've had worse,A drink perhaps
any suggestion,"I know the perfect drink, whiskey"
whiskey,Nice
a drink perhaps,anything specific
rum maybe,strong stuff 
no I'm good,"ok, let me know if you need anything"
yes it would be great, cheers
do you have any suggestion to make me feel better, shall I make some bloody mary for you
